crate_id,downloads
170415,9221779
816288,85749
396153,2633
453487,1180
1574108,1423
127200,4334
120039,2539
1236003,12344
1610745,118
30854,4033
678490,28407
532326,8117057
96839,5374675
727408,73250
189808,517729
62122,169197
1607098,255
1332,186527
525526,1234
630208,71355
476238,135248
94285,84517
1472441,5251
1597682,361
1609582,134
1031447,80492
8494,8793
1482394,416
1129254,3688
97579,2794378
1598818,157
1603720,150
1587535,399
323153,1333016
99661,12013467
702868,1070
1601298,2925
1464825,11031
938715,51203
1611634,108
303018,30726
293993,296640
1590721,789
141839,1421
91390,516519
394566,135116
1034881,9582
1493223,749
1610649,367
961888,8725
240115,293476
749608,8565
3903,2279
1536863,1138
982201,8706
538520,19597
108760,4241
3854,2328
1120971,18923
1110800,48031
1034143,3556
310107,1374
2597,10606
390630,23659
381466,4477
168657,37680
186829,4318
1431675,1502798
251159,15749
297713,52535
207181,35096
62733,2664
1589826,196
1592851,194
1107046,22213
972402,114524
162060,22382
634680,60435
1028801,938622
1377399,40269
306989,2602284
1237540,5975
344489,5989
382454,9132
205481,1968469
136364,3750172
923984,1019
873054,2031
796260,38936
984784,1075
623816,32729
680030,53416
560310,122618
212121,30871
344389,75916
1590689,192
42407,93678
1596487,299
1609390,391
372778,268968
535458,2037
431532,1216
104181,2555
596495,132088
679970,18456
5290,57793
833507,1136
251247,16536
1209348,305654
1406475,3087
386960,839
846535,18543
1596590,195
1485185,1161
575488,18152
817563,177948
1088035,40636
385662,298662
1188813,27639
3766,69647
846451,42620
795063,8799
751288,39481
322501,370055
741374,1019
837194,17973
509034,27872
1428924,434984
350722,72575
495101,32105
56956,8755663
1441598,8285
875934,14817
854612,29275
117079,45422
238200,50287
1179882,19892
529338,3611071
1082167,11788
1005899,24693
205628,1994906
937802,21229
5869,36651267
56439,88382
1591631,391
1600342,159
561028,11178
298809,3287185
1063104,10535
1312347,6303
199279,30097689
576996,76360
854130,29482
372674,9632
622983,20770
298307,33704
809697,25584
1017276,15064
731224,13776
385017,99396
1074636,12565
1601358,7701
195937,12543
758008,14929
1585597,237
832775,104654
841574,32360
728102,50726
53094,16452
779193,4550
727382,33233
375306,23559
450540,37692
966434,37764
114101,118103
5588,6379
1595563,182
5445,162527
720309,374872
978438,15182
162820,22675754
855130,16008
1029403,12074
633803,965089
1025359,32012
618664,23935
855079,15296
563965,87817
1105464,65141
15572,21468
392659,53962
857042,14204
1285297,1641024
592545,69559
1262428,6910
569880,20777
1108257,1713109
138561,54840
4685,51550
1159858,1661445
394430,106414
15855,20218
578853,74479
264899,5784105
173276,1312
188302,17380072
1281437,12787
1604,13412
846529,28789
3231,27184413
534401,11793888
840480,3150466
900591,2695210
226831,23196
76654,12556
495041,30805
1135021,31457
1041732,8128966
435278,14993
70720,11896206
96794,35258
507881,23152
455703,24767
418500,14293
24443,35588
1610008,122
847314,28321
64224,7505461
113781,22578
634013,304361
61243,35373
181607,51136
751271,11823
131083,5616221
416268,46597
1127753,5471
470654,4102225
59451,4398265
1193539,9181
371348,17711
654951,17345986
1581600,215
878170,26410
1611671,112
878026,39282
1583303,221
1592836,192
1589474,200
1029383,8808
345496,55389
1592800,200
912635,9021179
732248,321474
76275,2646718
878167,27413
1152321,10508
165441,51776
933986,55312
219828,5616138
808109,5203267
280156,48448
645490,1060
165682,142666
447455,1055222
109041,3763533
505387,46347
164224,132415
1021995,53543
298419,5963283
359050,36507
1582796,214
1195269,1148
1119674,10871
55831,1757747
657902,4480878
582484,16472
838838,48780
398924,47458
245001,71454
693923,80577
564732,6957302
1490786,1947
529339,3612227
116627,3535816
1244656,50683
617009,13831
632686,124209
718906,3084036
1298601,11397
505112,51798
14832,1580
1182526,28811
829125,28769
709,113108
41611,204108
7592,3232387
52349,1588
1602726,146
1599089,164
618599,4898781
218072,11248916
1601668,146
7731,16033054
150184,3926473
1532020,367
26413,2752510
272078,1244
1600313,328
94943,10323407
394676,90036
1585783,227
980874,11381
874872,5903729
1005882,140059
49650,14064181
5067,45409842
937211,508072
843768,28788
598871,7220601
3110,8146159
811776,121246
1132183,20190
1184616,1061
1594503,188
1396650,3627867
724057,80433
944013,1018
1585510,210
708068,853819
192325,19919
145269,21995
192202,6497467
553749,7152977
762742,2991692
819380,74808
394631,146160
1593588,181
951668,142984
75429,5618988
1540318,327
1510730,1148
1029313,24756
1591646,922
1597683,367
408029,20853
1590761,188
1597889,192
10681,7443567
1551135,4411
480882,1122012
1604614,905
372993,20565741
727706,32770
1593,4552751
845836,70059
1564883,268
634535,27378
1581452,218
1610048,119
310177,10672486
47514,84123
576995,106429
98383,45226
1597258,184
1609624,123
74050,83556
1555948,402
266041,92326
967088,17066
678782,9010
1599195,339
914206,89756
1589389,581
1562839,3439
1600054,162
1597990,335
1369,63912802
575366,77741
520809,2871282
1570924,299
1557537,514
490233,3791467
1211841,1442917
350482,193118
23947,70310
677989,2876344
51223,44008
1317159,11880
314832,21745
124536,3388258
1579049,231
819560,108464
747166,5096
509460,82196
1587295,211
459786,4488564
97542,23067
416822,136584
8422,8119575
1607258,278
1477785,1267
170663,47878
238233,13117045
247463,2631821
449628,17426469
140282,17240227
